name,similarName 
'(1)  mapeax  remdies  pvt. ltd. , (2)winsome textile  ltd. ( 3 ) lumi','1.2.3',
(1)  mapeax  remdies  pvt. ltd. , (2)winsome textile  ltd. ( 3 ) lumi','3',
'.Gaba Consultancy Services Pvt. Ltd.','A S A Consultancy Services',
'1.\tbsa india food ingredients pvt. ltd. f-29, agro food park, m.i.a., alwar, rajasthan','A',
'1.2.3','(1)  mapeax  remdies  pvt. ltd. , (2)winsome textile  ltd. ( 3 ) lumi',
1.2.3','1.2.3',
.2.3,'3',
'1.ultratech cement ltd co jaipur supreme packaging pvt ltd','3D PACKAGING LTD',
'10','10 Blossoms Hospitality Services',
10','10 Downing Street',
'10 Blossoms Hospitality Services','10',
10 Blossoms Hospitality Services','10 Blossoms Hospitality Services',
'10 Downing Street','10',
10 Downing Street','10 Downing Street',
'10kinfo','10Kinfo Data Solutions',
'10Kinfo Data Solutions','10kinfo',
10Kinfo Data Solutions','10Kinfo Data Solutions',
'10times','10times Online',
'10times Online','10times',
10times Online','10times Online',
'115 construction','115 Construction & Installation',
'115 Construction & Installation','115 construction',
115 Construction & Installation','115 Construction & Installation',
'123Stores','123Stores E-Commerce Pvt. Ltd.',
'123Stores E-Commerce Pvt. Ltd.','123Stores',
123Stores E-Commerce Pvt. Ltd.','123Stores E-Commerce Pvt. Ltd.',
'132.5 mw helios solar energy','5',
'1CALLFix','1CALLFix Solutions',
'1CALLFix Solutions','1CALLFix',
1CALLFix Solutions','1CALLFix Solutions',
'1E','1E Infosystems',
'1E Infosystems','1E',
1E Infosystems','1E Infosystems',
'1mg','1mg technology private limited',
'1mg technology private limited','1mg',
1mg technology private limited','1mg technology private limited',
'1Point1','1Point1 Pvt Ltd Solutions',
1Point1','1point1 solutions pvt ltd',
'1Point1 Pvt Ltd Solutions','1Point1',
1Point1 Pvt Ltd Solutions','1Point1 Pvt Ltd Solutions',
Point1 Pvt Ltd Solutions,'1point1 solutions pvt ltd',
'1point1 solutions pvt ltd','1Point1',
1point1 solutions pvt ltd','1Point1 Pvt Ltd Solutions',
point1 solutions pvt ltd,'1point1 solutions pvt ltd',
'1Solutions','1solutions.biz',
'1solutions.biz','1Solutions',
1solutions.biz','1solutions.biz',
'1To1Help Net','1to1help.net',
'1to1help.net','1To1Help Net',
1to1help.net','1to1help.net',
'2 TIMES KUWAIT,3 TIMES QATAR gulf return','3',
'20 Microns','20 Microns Nano Minerals',
'20 Microns Nano Minerals','20 Microns',
20 Microns Nano Minerals','20 Microns Nano Minerals',
'2020','2020 Social',
'2020 Social','2020',
2020 Social','2020 Social',
'21st Century','21st Century Consultancy For You',
21st Century','21st Century Enviro Engineers',
1st Century,'21st century estate consultancy',
'21st Century Consultancy For You','21st Century',
21st Century Consultancy For You','21st Century Consultancy For You',
'21st Century Enviro Engineers','21st Century',
21st Century Enviro Engineers','21st Century Enviro Engineers',
'21st century estate consultancy','21st Century',
21st century estate consultancy','21st century estate consultancy',
1st century estate consultancy,'21st Century Estate Consultant',
'21st Century Estate Consultant','21st Century',
21st Century Estate Consultant','21st century estate consultancy',
1st Century Estate Consultant,'21st Century Estate Consultant',
'21st Century Health Management Solutions','21st Century',
21st Century Health Management Solutions','21st Century Health Management Solutions',
'21st Century Informatics','21st Century',
21st Century Informatics','21st Century Informatics',
'21st Century Law Firm','21st Century',
21st Century Law Firm','21st Century Law Firm',
'21St Century Legend','21st Century',
21St Century Legend','21St Century Legend',
'21st Century Packaging','21st Century',
21st Century Packaging','21st Century Packaging',
'21st century textile (tanzania)','21st Century',
21st century textile (tanzania)','21st century textile (tanzania)',
'21st Century Textiles','21st Century',
21st Century Textiles','21st Century Textiles',
'22 non immigrant us visa Serivce','22 non immigrant us visa service',
'22 non immigrant us visa service','22 non immigrant us visa Serivce',
22 non immigrant us visa service','22 non immigrant us visa service',
'24 system','24 Systems',
'24 Systems','24 system',
24 Systems','24 Systems',
'24seven','24Seven Cart',
24seven','24Seven Commerce',
4seven,'24seven Operations Private Limited',
'24Seven Cart','24seven',
24Seven Cart','24Seven Cart',
'24Seven Commerce','24seven',
24Seven Commerce','24Seven Commerce',
'24seven Operations Private Limited','24seven',
24seven Operations Private Limited','24seven Operations Private Limited',
'270 Degree Kids','270 degree kids preschool',
'270 degree kids preschool','270 Degree Kids',
270 degree kids preschool','270 degree kids preschool',
'2COMS','2COMS Consulting',
'2COMS Consulting','2COMS',
2COMS Consulting','2COMS Consulting',
COMS Consulting,'4 Consulting',
'2Pi Interactive','72 Interactive',
2Pi Interactive','9 9 Interactive',
'2XL','2xl furniture n home decor',
'2xl furniture n home decor','2XL',
2xl furniture n home decor','2xl furniture n home decor',
xl furniture n home decor,'@home',
'3','(1)  mapeax  remdies  pvt. ltd. , (2)winsome textile  ltd. ( 3 ) lumi',
3','1.2.3',
,'2 TIMES KUWAIT,3 TIMES QATAR gulf return',
'3 Aces Koncepts','3',
3 Aces Koncepts','3 Aces Koncepts',
'3 Brothers & Fils','3',
3 Brothers & Fils','3 Brothers & Fils',
'3 E Management Consultant','3',
3 E Management Consultant','3 E Management Consultant',
'3 Fitness Consultant','3',
3 Fitness Consultant','3 Fitness Consultant',
'3 Global Services','3',
3 Global Services','3 Global Services',
 Global Services,'31West Global Services',
Global Service,'3D PLM Global Services',
lobal Servic,'3DPLM Global Service',
'3 Palms Hotels & Resorts','3',
3 Palms Hotels & Resorts','3 Palms Hotels & Resorts',
'3 Production Wedding Planning & Decor','3',
3 Production Wedding Planning & Decor','3 Production Wedding Planning & Decor',
'3 S Envo Solution','3',
3 S Envo Solution','3 S Envo Solution',
 S Envo Solution,'3s envo solutions',
'3 Wings Engineers','3',
3 Wings Engineers','3 Wings Engineers',
'31West Global Services','3 Global Services',
31West Global Services','31West Global Services',
1West Global Services,'@Global',
'32 Solutions','39 Solutions',
32 Solutions','3m Solutions',
'33 Food','33 foods',
'33 foods','33 Food',
33 foods','33 foods',
'360 BRANDING SOLUTIONS PVT. LTD','360 PC Solutions Pvt Ltd',
'360 Degree','360 Degree Cloud Technologies',
360 Degree','360 Degree Digital Solutions',
60 Degree,'360 degree media solution pvt ltd',
'360 Degree Cloud Technologies','360 Degree',
360 Degree Cloud Technologies','360 Degree Cloud Technologies',
'360 Degree Digital Solutions','360 Degree',
360 Degree Digital Solutions','360 Degree Digital Solutions',
60 Degree Digital Solutions,'360 Degree Solutions',
'360 degree media solution pvt ltd','360 Degree',
360 degree media solution pvt ltd','360 degree media solution pvt ltd',
'360 DEGREE MEDIA SOLUTIONS','360 Degree',
360 DEGREE MEDIA SOLUTIONS','360 DEGREE MEDIA SOLUTIONS',
60 DEGREE MEDIA SOLUTIONS,'360 Degree Solutions',
'360 Degree Solutions','360 Degree',
360 Degree Solutions','360 Degree Digital Solutions',
60 Degree Solutions,'360 DEGREE MEDIA SOLUTIONS',
0 Degree Solution,'360 Degree Solutions',
'360 Degree Technosoft','360 Degree',
360 Degree Technosoft','360 Degree Technosoft',
'360 DEGREE THERAPY','360 Degree',
360 DEGREE THERAPY','360 DEGREE THERAPY',
'360 Nautica Tech Venture','360 nautica tech ventures',
'360 nautica tech ventures','360 Nautica Tech Venture',
360 nautica tech ventures','360 nautica tech ventures',
'360 PC Solutions Pvt Ltd','360 BRANDING SOLUTIONS PVT. LTD',
360 PC Solutions Pvt Ltd','360 PC Solutions Pvt Ltd',
'360 Realtors','360 Realtors LLP',
'360 Realtors LLP','360 Realtors',
360 Realtors LLP','360 Realtors LLP',
'360i Technologies','3Wi Technologies',
'360Logica','360Logica Software Testing Services',
'360Logica Software Testing Services','360Logica',
360Logica Software Testing Services','360Logica Software Testing Services',
'361 degree Minds','361 Degree Minds Consulting Pvt Ltd',
361 degree Minds','361 Degrees Minds',
'361 Degree Minds Consulting Pvt Ltd','361 degree Minds',
